State,Opponent,Score,Season
L,@DC,3:0,2021
L,LA,0:1,2021
L,@ATL,2:1,2021
W,NE,3:1,2021
W,CIN,2:0,2021
L,@PHI,2:0,2021
W,ATL,1:0,2021
